id	filename	md5	size	state
f0d03328-c1a6-42f8-92f3-727184befe52	08c453f7-3a27-453a-bb6e-d2a7f250e6f2.rna_seq.augmented_star_gene_counts.tsv	5a238e1cc0e645391291f76869ac2407	4233410	released
c4d687b5-7534-4920-be71-f18d259c2697	9337bdab-f8de-4922-8780-494f90b25706.rna_seq.augmented_star_gene_counts.tsv	f7aaea9340d1f20596cdad618c02ce25	4225982	released
eccef49b-a8a9-422e-ab4e-6a8542347354	f60cab51-b9e1-4473-adf4-c603ae432d8d.rna_seq.augmented_star_gene_counts.tsv	f53118e4f1cdf99880dec4179c29f4cb	4250181	released
bb223cb7-3553-4494-b9ac-7489e3187db3	e0e3a69f-dcf1-49a6-9f73-da7e56238c68.rna_seq.augmented_star_gene_counts.tsv	ed766926bfcd25b44b15951b4eec5f31	4234965	released
e686f1e8-7009-4b8b-852f-aaf4db0e5ab3	778e6330-b1a6-4332-941c-4a3486dbb125.rna_seq.augmented_star_gene_counts.tsv	8bdb25bf013493195b9d21d8c1f2d4bd	4233412	released
cc8d5026-10bd-45fc-aa39-ba3453d8b05a	35830217-38c6-4762-96d9-e7ee7df95b5d.rna_seq.augmented_star_gene_counts.tsv	eace58ebb3fb6bcca23b4f8b0e78cc9a	4241269	released
1ca38806-3ee6-47e7-8f2d-0b8a758d69c6	f7405928-dcaa-4359-ad8c-c69028dd6e2d.rna_seq.augmented_star_gene_counts.tsv	ee598489162c78e5f8cd37c7a5c85833	4250584	released
7af8fb1b-0385-477f-b002-ac471a18db54	8e6e5d92-19ec-41f1-a760-f76dd3377041.rna_seq.augmented_star_gene_counts.tsv	11317bc89091af0d0c4583bb17ddfdf5	4243610	released
7c51c34b-4fc4-47e0-b671-5869734cef2d	3013ec38-5c4f-4c37-85b5-93e6c0f2f1c8.rna_seq.augmented_star_gene_counts.tsv	da6a64429ff8d5d13d9d540167bde161	4231819	released
9108a0cb-b8d2-4c0f-9f2f-9d2a4f9931f1	5584e7e1-55ac-411a-9d40-14653ca02c2f.rna_seq.augmented_star_gene_counts.tsv	2dc66dc6f9cf8d36b7b57e6d267bbd7d	4226788	released
11af7fd4-8b9d-4f22-a1b6-49187693acb0	73f9c204-a5cd-4f47-995e-cdd41782c1bc.rna_seq.augmented_star_gene_counts.tsv	eb0dd4305318ef6f23115d8ed34e8bc5	4254362	released
d2cebd9f-635f-48a2-b3ad-566db34f503c	e77d64cd-452e-45a4-9303-6446b5c226c5.rna_seq.augmented_star_gene_counts.tsv	6256d02cea64eee11df33367be426d58	4249297	released
a11dba31-1b52-4457-b275-66659be74f7e	450c2339-0b4f-47ff-a929-e826fa4cd971.rna_seq.augmented_star_gene_counts.tsv	ddfa15151955445b4c174f8dd37f55a9	4256044	released
b185080f-6249-420f-81b0-af74419d5c62	28431854-7a47-487d-a398-4ea7f447f95b.rna_seq.augmented_star_gene_counts.tsv	33c3185e1ae0649342e4381ff0b8eda1	4245507	released
3205ade6-c915-4cf6-8328-7fe22aaa8dc1	148b2ab5-4d1f-427c-a395-6408008335e8.rna_seq.augmented_star_gene_counts.tsv	06d10c28fe46a2aacb5e73cc65cad823	4223294	released
